cate_product_title,cate_pirce,cate_vendor,cate_voucher,cate_new_tag,listing_link,listing_link,Brand,Product type,Profile,Layout size,Layout standard,Layout ergonomics,Hot-swappable,Knob support,Rgb support,Display support,QMK/VIA,Connection,Battery capacity,Mount style,Case material,Keycap material,scraping_date
Other TH66 Regular Version,$69,Epomaker,None,New!,https://keeb-finder.com/keyboards/epomaker-th66-regular-version,https://keeb-finder.com/keyboards/epomaker-th66-regular-version,Other,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",2200 mAh,Unknown,Plastic,PBT,2024-03-28
Darmoshark KT68Z Magnetic Switch,$129,Mechkeys,None,New!,https://keeb-finder.com/keyboards/darmoshark-kt68z,https://keeb-finder.com/keyboards/darmoshark-kt68z,Darmoshark,Keyboard,Normal Profile,65%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Unknown,Plastic,PBT,2024-03-28
Keychron Q12 Max,$215,Keychron,None,New!,https://keeb-finder.com/keyboards/keychron-q12-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q12-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Gasket Mount,Metal,PBT,2024-03-28
WhatGeek BACKSPACE OASIS 65 Trimode DIY,$149,WhatGeek,None,New!,https://keeb-finder.com/keyboards/backspace-oasis-65-tri-mode-wireless-keyboard-diy-kit,https://keeb-finder.com/keyboards/backspace-oasis-65-tri-mode-wireless-keyboard-diy-kit,WhatGeek,Keyboard Kit,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",4000 mAh,Gasket Mount,Aluminum,ABS,2024-03-28
ZUOYA LMK21 Number Pad Support Aluminum Macro Pad,$69,WhatGeek,None,New!,https://keeb-finder.com/keyboards/zuoya-lmk21-wireless-number-pad-keyboard-kit-support-via-aluminum-macro-pad,https://keeb-finder.com/keyboards/zuoya-lmk21-wireless-number-pad-keyboard-kit-support-via-aluminum-macro-pad,ZUOYA,Keyboard Kit,Normal Profile,30%,ANSI,Normal,No,No,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",1000 mAh,Gasket Mount,Plastic,Unknown,2024-03-28
Redragon TRARIC K634 Pro,$54,Redragon,-0.1,New!,https://keeb-finder.com/keyboards/traric-k634-pro,https://keeb-finder.com/keyboards/traric-k634-pro,Redragon,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,Yes,No,No,"2.4 GHz, Wireless",-,Bottom Mount,Plastic,Unknown,2024-03-28
Redragon HORUS K609 SE,$54,Redragon,-0.1,New!,https://keeb-finder.com/keyboards/horus-k609-se,https://keeb-finder.com/keyboards/horus-k609-se,Redragon,Keyboard,Low Profile,65%,ANSI,Normal,No,No,Yes,No,No,"2.4 GHz, Wireless",-,Bottom Mount,Plastic,Unknown,2024-03-28
Nuphy Gem80,$149,Nuphy,None,None,https://keeb-finder.com/keyboards/gem80,https://keeb-finder.com/keyboards/gem80,Nuphy,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Plate Mount,Aluminum,Unknown,2024-03-28
Nuphy Air75 V2,$119,Nuphy,None,None,https://keeb-finder.com/keyboards/air75-v2,https://keeb-finder.com/keyboards/air75-v2,Nuphy,Keyboard,Low Profile,75%,ANSI,Normal,Yes,No,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Unknown,Aluminum,PBT,2024-03-28
Nuphy Air60 V2,$109,Nuphy,None,None,https://keeb-finder.com/keyboards/air60-v2,https://keeb-finder.com/keyboards/air60-v2,Nuphy,Keyboard,Low Profile,60%,ANSI,Normal,Yes,No,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",2500 mAh,Unknown,Aluminum,PBT,2024-03-28
Nuphy Field75,$159,Nuphy,None,None,https://keeb-finder.com/keyboards/field75,https://keeb-finder.com/keyboards/field75,Nuphy,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",4200 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Nuphy Halo96,$139,Nuphy,None,None,https://keeb-finder.com/keyboards/halo96,https://keeb-finder.com/keyboards/halo96,Nuphy,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,No,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Unknown,Aluminum,PBT,2024-03-28
Nuphy Halo65,$119,Nuphy,None,None,https://keeb-finder.com/keyboards/halo65,https://keeb-finder.com/keyboards/halo65,Nuphy,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Unknown,Aluminum,PBT,2024-03-28
Nuphy Air96,$109,Nuphy,None,None,https://keeb-finder.com/keyboards/air96-wireless-mechanical-keyboard,https://keeb-finder.com/keyboards/air96-wireless-mechanical-keyboard,Nuphy,Keyboard,Low Profile,96%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Unknown,Aluminum,PBT,2024-03-28
Nuphy Air60,$89,Nuphy,None,None,https://keeb-finder.com/keyboards/air60,https://keeb-finder.com/keyboards/air60,Nuphy,Keyboard,Low Profile,60%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",2500 mAh,Unknown,Aluminum,PBT,2024-03-28
MMkeyboard MMClass65 V2,$320,MMkeyboard,None,None,https://keeb-finder.com/keyboards/mm-class65-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/mm-class65-custom-mechanical-keyboard,MMkeyboard,Keyboard,Normal Profile,65%,"ISO, ANSI",Normal,Yes,No,No,No,Yes,Wired,No battery,Gasket Mount,Plastic,ABS,2024-03-28
MMkeyboard MMClass80,$345,MMkeyboard,None,None,https://keeb-finder.com/keyboards/mm-class80-customized-mechanical-keyboard,https://keeb-finder.com/keyboards/mm-class80-customized-mechanical-keyboard,MMkeyboard,Keyboard,Normal Profile,80%,"ISO, ANSI",Normal,Yes,No,No,No,Yes,"Bluetooth, Wireless",5000 mAh,Plate Mount,Aluminum,PBT,2024-03-28
MMkeyboard 【INSTOCK】Class80R2,$305,MMkeyboard,None,None,https://keeb-finder.com/keyboards/class80-r2,https://keeb-finder.com/keyboards/class80-r2,MMkeyboard,Keyboard Kit,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Top Mount,Plastic,ABS,2024-03-28
Monokei Systems,$189,Dangkeebs,None,None,https://keeb-finder.com/keyboards/monokei-systems-low-profile-keyboard,https://keeb-finder.com/keyboards/monokei-systems-low-profile-keyboard,Monokei,Keyboard Kit,Low Profile,75%,"ANSI, ISO",Normal,No,Yes,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",760 mAh,Gasket Mount,Aluminum,ABS,2024-03-28
Keychron Q1 Max,$189,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron Q2 Max,$189,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron Q3 Max,$194,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron Q5 Max,$199,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q5-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-q5-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Keychron V5 Max,$79,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v5-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-v5-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",4000 mAh,Gasket Mount,Plastic,PBT,2024-03-28
Keychron V2 Max,$74,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v2-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-v2-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,65%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, 2.4 GHz, Wireless",-,Gasket Mount,Plastic,PBT,2024-03-28
Keychron V1 Max,$74,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-v1-max-qmk-via-wireless-custom-mechanical-keyboard,https://keeb-finder.com/keyboards/keychron-v1-max-qmk-via-wireless-custom-mechanical-keyboard,Keychron,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, 2.4 GHz, Wireless",-,Gasket Mount,Plastic,PBT,2024-03-28
HIBI JUNIOR Numpad,$93,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/hibi-junior-numpad,https://keeb-finder.com/keyboards/hibi-junior-numpad,HIBI,Keyboard Kit,Normal Profile,Numpad,ANSI,Normal,Yes,No,No,No,Yes,Wired,No battery,Tray Mount,Plastic,Unknown,2024-03-28
DaringRun Instock DR70F,$139,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/daringrun-dr-70f-keyboard,https://keeb-finder.com/keyboards/daringrun-dr-70f-keyboard,DaringRun,Keyboard Kit,Normal Profile,70%,ANSI,Normal,Yes,No,No,No,Yes,"Bluetooth, Wireless",6400 mAh,Sandwich Mount,Aluminum,Unknown,2024-03-28
Akko MOD 007B HE,$169,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/akko-mod-007b-he-75-keyboard,https://keeb-finder.com/keyboards/akko-mod-007b-he-75-keyboard,Akko,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",3600 mAh,Plate Mount,Plastic,PBT,2024-03-28
Monsgeek ICE75,$69,Divinikey,-0.05,None,https://keeb-finder.com/keyboards/monsgeek-ice75-75-keyboard,https://keeb-finder.com/keyboards/monsgeek-ice75-75-keyboard,Monsgeek,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, 2.4 GHz, Wireless",3000 mAh,Top Mount,Plastic,Unknown,2024-03-28
Keychron Q14 Pro Alice,$200,Divinikey,None,None,https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,https://keeb-finder.com/keyboards/keychron-q14-pro-96-southpaw-alice-keyboard,Keychron,Keyboard,Normal Profile,96%,ANSI,Alice,Yes,Yes,Yes,No,Yes,"Bluetooth, Wireless",4000 mAh,Gasket Mount,Metal,PBT,2024-03-28
Monsgeek M6 Alice,$99,Mechkeys,None,None,https://keeb-finder.com/keyboards/monsgeek-m6-alice-kit,https://keeb-finder.com/keyboards/monsgeek-m6-alice-kit,Monsgeek,Keyboard Kit,Normal Profile,65%,ANSI,Alice,Yes,Yes,Yes,No,Yes,"Wired, Bluetooth, Wireless",-,Gasket Mount,Aluminum,Unknown,2024-03-28
Lofree Flow Low Profile,$159,Divinikey,None,None,https://keeb-finder.com/keyboards/lofree-flow-75-low-profile-keyboard,https://keeb-finder.com/keyboards/lofree-flow-75-low-profile-keyboard,Lofree,Keyboard,Low Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, Wireless",2000 mAh,Gasket Mount,Aluminum,PBT,2024-03-28
