listing_title,Vendor,Location,In Stock,Coupon Code,Price (USD),Link*,scraping_date
https://keeb-finder.com/keyboards/epomaker-th66-regular-version,,Global,,-,$69 - $89-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/darmoshark-kt68z,,Global,,-,$129 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q12-max-qmk-via-wireless-custom-mechanical-keyboard,,CN,,-,$215 - $235-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q12-max-qmk-via-wireless-custom-mechanical-keyboard,,Global,?,-,$240 - $260- Out of stock,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/backspace-oasis-65-tri-mode-wireless-keyboard-diy-kit,,CN,,-,$149 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/zuoya-lmk21-wireless-number-pad-keyboard-kit-support-via-aluminum-macro-pad,,CN,,-,$69 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/traric-k634-pro,,CN,,-10% Code: KEEBFINDER,$54 -10% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/horus-k609-se,,CN,,-10% Code: KEEBFINDER,$54 -10% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/gem80,,Global,,-,$149 - $208-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air96-v2,,Global,,-,$129 - $139-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air96-v2,,Global,,-,$160 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air75-v2,,Global,,-,$119 - $129-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air75-v2,,Global,,-,$150 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air60-v2,,Global,,-,$109 - $119-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air60-v2,,Global,,-,$140 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/field75,,Global,,-,$159 - $203-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/halo96,,Global,,-,$139 - $149-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/halo65,,Global,,-,$119 - $163-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/halo65,,Global,,-,$150 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air96-wireless-mechanical-keyboard,,Global,,-,$109 - $138-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air96-wireless-mechanical-keyboard,,Global,,-,$160 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air60,,Global,,-,$89 - $127-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/air60,,Global,,-,$140 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/mm-class65-custom-mechanical-keyboard,,US,,-,$320 - $370-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/mm-class80-customized-mechanical-keyboard,,US,,-,$345 - $375-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/class80-r2,,US,,-,$305 - $450-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monokei-systems-low-profile-keyboard,,US,,-,$189 - $199-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/monokei-systems-low-profile-keyboard,,US,,-5% Code: KEEBFINDER,$199 - $209-5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-5% Code: KEEBFINDER,$189 - $209-5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-,$189 - $209-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,,CN,,-,$205 - $225-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q1-max-qmk-via-wireless-custom-mechanical-keyboard,,Global,?,-,$214 - $250- Out of stock,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-5% Code: KEEBFINDER,$189 - $209-5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-,$189 - $209-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,,CN,,-,$205 - $225-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q2-max-qmk-via-wireless-custom-mechanical-keyboard,,Global,,-,$229 -,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-5% Code: KEEBFINDER,$194 - $214-5% Code: KEEBFINDER,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,,US,,-,$194 - $214-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,,CN,,-,$210 - $230-,Visit shop,2024-03-28
https://keeb-finder.com/keyboards/keychron-q3-max-qmk-via-wireless-custom-mechanical-keyboard,,Global,?,-,$219 - $255- Out of stock,Visit shop,2024-03-28
